date,matchday,home_team,away_team,competition,competition_code,match_id
2025-10-23 00:30:00+00:00,1,CR Flamengo,Racing Club,Copa Libertadores,CLI,535967
2025-10-24 00:30:00+00:00,1,LDU de Quito,SE Palmeiras,Copa Libertadores,CLI,552809
2025-10-30 00:30:00+00:00,2,Racing Club,CR Flamengo,Copa Libertadores,CLI,535968
2025-10-31 00:30:00+00:00,2,SE Palmeiras,LDU de Quito,Copa Libertadores,CLI,552810
